# Evoluation started on 2022/12/09 07:52:23
# Generation	   Best 	   Average 	   Worst
	  0		   1.797	   1.004	   0.254
	  1		   1.851	   1.403	   0.414
	  2		   1.923	   1.562	   0.722
	  3		   1.876	   1.522	   0.693
	  4		   1.887	   1.547	   0.864
	  5		   1.898	   1.607	   0.877
	  6		   1.981	   1.744	   0.938
	  7		   1.967	   1.632	   0.789
	  8		   1.925	   1.647	   0.635
	  9		   1.964	   1.573	   0.823
	 10		   1.902	   1.632	   0.986
	 11		   1.963	   1.721	   0.922
	 12		   1.965	   1.729	   0.985
	 13		   1.987	   1.684	   0.891
	 14		   1.932	   1.670	   0.914
	 15		   1.954	   1.592	   0.624
	 16		   1.956	   1.653	   0.896
	 17		   1.968	   1.644	   0.759
	 18		   1.965	   1.644	   0.892
	 19		   1.976	   1.760	   0.856
	 20		   1.948	   1.667	   0.606
	 21		   1.988	   1.687	   0.771
	 22		   1.978	   1.639	   0.846
	 23		   1.977	   1.623	   0.426
	 24		   1.947	   1.660	   0.812
	 25		   2.000	   1.787	   1.054
	 26		   1.984	   1.713	   0.643
	 27		   1.996	   1.712	   0.954
	 28		   1.993	   1.709	   0.906
	 29		   1.967	   1.709	   0.998
	 30		   1.968	   1.696	   0.824
	 31		   1.957	   1.622	   0.681
	 32		   1.933	   1.683	   0.729
	 33		   1.967	   1.676	   0.876
	 34		   1.980	   1.713	   1.052
	 35		   1.993	   1.776	   0.840
	 36		   2.016	   1.774	   0.660
	 37		   1.999	   1.720	   0.773
	 38		   1.999	   1.706	   0.428
	 39		   1.950	   1.676	   0.681
	 40		   1.999	   1.726	   0.580
	 41		   1.993	   1.689	   0.580
	 42		   1.910	   1.656	   0.783
	 43		   1.975	   1.636	   0.706
	 44		   2.009	   1.702	   0.722
	 45		   1.969	   1.722	   0.705
	 46		   1.968	   1.689	   0.328
	 47		   1.963	   1.680	   0.626
	 48		   1.985	   1.666	   0.564
	 49		   2.000	   1.702	   0.456
	 50		   2.003	   1.661	   0.276
	 51		   1.975	   1.642	   0.321
	 52		   1.778	   1.465	   0.337
	 53		   1.973	   1.522	   0.238
	 54		   1.993	   1.706	   0.812
	 55		   1.984	   1.667	   0.674
	 56		   1.986	   1.687	   0.500
	 57		   2.015	   1.739	   0.754
	 58		   1.978	   1.605	   1.048
	 59		   1.979	   1.672	   0.370
	 60		   1.988	   1.659	   0.465
	 61		   1.999	   1.771	   0.494
	 62		   2.008	   1.737	   0.524
	 63		   1.993	   1.648	   0.448
	 64		   1.999	   1.695	   0.731
	 65		   1.993	   1.593	   0.331
	 66		   2.006	   1.703	   0.710
	 67		   2.006	   1.606	   0.810
	 68		   2.002	   1.684	   0.865
	 69		   1.996	   1.738	   1.012
	 70		   1.979	   1.664	   0.606
	 71		   1.982	   1.685	   0.995
	 72		   1.992	   1.634	   0.652
	 73		   1.976	   1.688	   0.588
	 74		   1.996	   1.673	   0.766
	 75		   2.003	   1.749	   0.913
	 76		   1.973	   1.701	   0.795
	 77		   2.019	   1.831	   0.981
	 78		   2.014	   1.784	   0.852
	 79		   1.979	   1.681	   0.939
	 80		   1.916	   1.600	   0.747
	 81		   1.994	   1.724	   0.998
	 82		   2.005	   1.735	   0.870
	 83		   2.010	   1.726	   0.930
	 84		   1.990	   1.716	   0.751
	 85		   2.008	   1.729	   0.822
	 86		   1.998	   1.743	   0.782
	 87		   2.008	   1.743	   0.986
	 88		   1.999	   1.728	   0.917
	 89		   2.013	   1.737	   0.875
	 90		   2.005	   1.773	   0.788
	 91		   2.003	   1.750	   0.836
	 92		   2.009	   1.812	   0.972
	 93		   2.021	   1.771	   0.738
	 94		   2.033	   1.887	   1.199
	 95		   2.004	   1.816	   0.947
	 96		   1.996	   1.733	   0.937
	 97		   2.019	   1.819	   1.177
	 98		   2.021	   1.854	   1.095
	 99		   2.005	   1.729	   0.935
	100		   2.013	   1.794	   0.891
	101		   2.012	   1.774	   0.996
	102		   2.031	   1.805	   0.944
	103		   2.033	   1.860	   1.071
	104		   2.031	   1.845	   1.004
	105		   2.020	   1.872	   0.991
	106		   2.024	   1.880	   0.770
	107		   2.022	   1.895	   1.060
	108		   2.003	   1.861	   1.309
	109		   2.026	   1.856	   1.034
	110		   2.000	   1.814	   1.084
	111		   2.012	   1.829	   0.974
	112		   2.021	   1.851	   0.806
	113		   2.032	   1.893	   0.945
	114		   2.023	   1.866	   0.990
	115		   1.989	   1.777	   0.926
	116		   2.008	   1.798	   0.952
	117		   2.004	   1.819	   0.815
	118		   2.011	   1.727	   0.967
	119		   2.004	   1.836	   0.879
	120		   2.010	   1.860	   1.176
	121		   2.030	   1.885	   0.879
	122		   1.993	   1.737	   0.761
	123		   1.998	   1.777	   0.847
	124		   2.003	   1.766	   0.953
	125		   2.024	   1.786	   0.941
	126		   2.035	   1.808	   0.850
	127		   1.946	   1.681	   0.892
	128		   2.018	   1.831	   1.063
	129		   2.014	   1.676	   1.020
	130		   2.011	   1.807	   1.026
	131		   2.024	   1.815	   1.021
	132		   2.031	   1.772	   0.807
	133		   2.016	   1.829	   1.143
	134		   2.017	   1.740	   0.848
	135		   2.005	   1.731	   0.992
	136		   2.027	   1.868	   1.009
	137		   2.023	   1.873	   1.174
	138		   2.022	   1.810	   1.113
	139		   2.221	   1.795	   1.127
	140		   2.037	   1.832	   1.173
	141		   2.025	   1.804	   1.034
	142		   2.016	   1.773	   1.010
	143		   1.997	   1.773	   0.813
	144		   1.985	   1.688	   1.029
	145		   2.019	   1.793	   0.984
	146		   2.000	   1.771	   1.026
	147		   2.014	   1.756	   0.941
	148		   1.957	   1.616	   0.840
	149		   2.004	   1.768	   0.889
	150		   2.013	   1.822	   0.981
	151		   2.001	   1.757	   0.976
